Scenario,PositiveS,PositiveS2,Questions,PositiveQ
You recently adopted a new cat. You quickly learn that your cat is a picky eater. You decide to buy a new brand of ,food,food,Have you had your cat for a long time?,No
You are trying to decide what to have for lunch. You thought you had leftovers from the night before, but you cannot find them in the fridge. You realize that the leftovers are behind the ,juice,juice,Did you find the leftovers?,Yes
Your alarm goes off in the morning. You get out of bed and think about what you want to eat for breakfast. You decide you want to eat ,cereal,cereal,Did you decide to eat eggs for breakfast?,No
"You are packing for your winter vacation. As you fold your clothes, you remember your favorite sweater is dirty. You decide you should do",laundry,laundry,Is your sweater clean?,No
"You are looking for a new pet. At the store, you think about what would fit best with your busy lifestyle. You decide to get a",fish,fish,Are you looking for a pet?,Yes
"You are on a walk outside. Hearing a rustling noise, you look into the forest. You see a",deer,deer,Do you see a deer?,Yes
"You are driving home from work. On the way, you realize you missed a turn. You return home a little bit later than",usual,usual,Did you miss a turn?,Yes
"You decide to make some pasta for dinner. You start to boil some water in a pot. As the water boils, you start to make some",sauce,sauce,Do you feel hungry?,Yes
"You are parallel parking your car. You attempt to back into a spot slowly, but you gently hit the curb on accident. After a few more tries you are",successful,successful,Do you gently hit the curb on your first try parking?,Yes
"You are sitting on the couch channel surfing. You end up watching a cooking show. As you watch the chefs, you think about what you want to make for ",dinner,dinner,Are you watching a sitcom?,No
